MESURE_TME,CNTER_NM,AGE_FLAG_NM,MESURE_PLACE_FLAG_NM,MESURE_AGE_CO,INPT_FLAG_NM,COAW_FLAG_NM,MESURE_DAY,SEXDSTN_FLAG_CD,MESURE_IEM_001_VALUE,MESURE_IEM_002_VALUE,MESURE_IEM_003_VALUE,MESURE_IEM_004_VALUE,MESURE_IEM_005_VALUE,MESURE_IEM_006_VALUE,MESURE_IEM_007_VALUE,MESURE_IEM_008_VALUE,MESURE_IEM_009_VALUE,MESURE_IEM_010_VALUE,MESURE_IEM_012_VALUE,MESURE_IEM_013_VALUE,MESURE_IEM_014_VALUE,MESURE_IEM_015_VALUE,MESURE_IEM_016_VALUE,MESURE_IEM_017_VALUE,MESURE_IEM_018_VALUE,MESURE_IEM_019_VALUE,MESURE_IEM_020_VALUE,MESURE_IEM_021_VALUE,MESURE_IEM_022_VALUE,MESURE_IEM_023_VALUE,MESURE_IEM_024_VALUE,MESURE_IEM_025_VALUE,MESURE_IEM_026_VALUE,MESURE_IEM_027_VALUE,MESURE_IEM_028_VALUE,MESURE_IEM_029_VALUE,MESURE_IEM_030_VALUE,MESURE_IEM_031_VALUE,MESURE_IEM_032_VALUE,MESURE_IEM_033_VALUE,MESURE_IEM_034_VALUE,MESURE_IEM_035_VALUE,MESURE_IEM_036_VALUE,MESURE_IEM_037_VALUE,MESURE_IEM_038_VALUE,MESURE_IEM_039_VALUE,MESURE_IEM_040_VALUE,MESURE_IEM_041_VALUE,MESURE_IEM_042_VALUE,MESURE_IEM_043_VALUE,MESURE_IEM_044_VALUE,MESURE_IEM_050_VALUE,MESURE_IEM_051_VALUE,MESURE_IEM_052_VALUE
2,세종,성인,일반,57,관리자,3등급,20,M,171.2,76.5,21.2,86.3,91,158,50,53.2,,,6.9,,,,,,26.1,36,20,,163,,,,,,69.5,,33.9,,,,,,,,,,0.350,,,,,,,
2,스포원(금정),성인,일반,27,관리자,3등급,20,F,164.6,47.88,23.7,66.4,70,130,23.2,26.4,,,22,,,,,,17.7,25,,,,,,,,,55.1,,,,,,,,114,39.6,,,0.393,0.438,,,,,,
1,사상,성인,일반,19,관리자,참가,20,M,173.5,68.5,25.7,84,93,130,36.2,36.7,,,7,,,,,,22.8,39,,,191,,,,,,53.6,,,,,,,,126,45.6,,,0.312,,,,,,,
5,KSPO송파,성인,일반,58,관리자,참가,20,M,166.1,69.9,22.9,86.4,97,159,43,43.3,,,15.2,,,,,,25.3,27,,12.17,186,,,,,,61.9,,,99,126,145,173,33.8,,,,,,,,,,,,
1,동구(인천),성인,일반,19,관리자,3등급,20,M,168.8,68.1,13.5,,90,151,51.8,57.4,,,21.2,,,,,,23.9,54,50,,233,,,,,,84.3,,45.2,,,,,,,,,,0.338,,,,,,,
1,KSPO송파,성인,일반,20,관리자,참가,20,M,177.1,60.1,6.6,80,84,130,40.3,39.1,,,-8.2,,,,,,19.2,45,,,214,,,,,,67.1,,,99,131,144,176,48.4,,,,,0.378,,,,,,,
1,광산,성인,일반,23,관리자,3등급,20,F,164.6,55.8,31.6,65,73,130,26.5,26.5,,,27.4,,,,,,20.6,24,,,,,,,,,47.5,,,,,,,,108,39.1,,,0.368,0.378,,,,,,
1,광산,성인,일반,20,관리자,참가,20,F,168,57.4,34.5,72,87,126,29.4,29,,,-12.6,,,,,,20.3,12,,,,,,,,,51.2,,,,,,,,122,37.9,,,0.479,0.428,,,,,,
1,사상,성인,일반,19,관리자,참가,20,M,169.2,69.8,22.4,77,73,133,45.5,46.3,,,13.4,,,,,,24.4,41,43,,,,,,,,66.3,,43.3,,,,,,,,,,0.340,0.6,,,,,,
1,순천,성인,일반,19,관리자,참가,20,M,174.6,79.1,18.3,84.1,80,146,39.8,43.4,,,5.1,,,,,,25.9,53,41,,235,,,,,,54.9,,41.4,,,,,,,,,,0.287,,,,,,,
2,순천,성인,일반,19,관리자,참가,20,M,177.6,68.5,11.1,75.7,82,137,48.8,46.3,,,13.3,,,,,,21.7,56,32,,239,,,,,,71.2,,40.8,,,,,,,,,,0.295,,,,,,,
1,KSPO대구,성인,일반,19,관리자,3등급,20,M,180.5,70.6,12.9,79.5,73,132,41,43.9,,,11,,,,,,21.7,55,42,10,235,,,,,,62.2,,42.8,,,,,,,,,,,,,,,,,
1,KSPO대구,성인,일반,24,관리자,참가,20,M,173.2,77.9,23.4,85.8,90,139,47.7,48.9,,,-9.3,,,,,,26.0,37,36,10.7,226,,,,,,62.8,,40.0,,,,,,,,,,,,,,,,,
1,삼척,어르신,출장,78,관리자,1등급,20,F,139.8,45.9,37.1,,81,152,18.1,17.8,,,25.3,,,,,,23.5,,,,,32,,145,5.17,23.14,39.4,,,,,,,,,,,,,,,,,,,18.1
0,연제,성인,일반,29,관리자,3등급,20,M,180.2,70.2,32.2,94.0,80,120,33.5,43.8,,,6.4,,,,,,21.6,47,,,,,,,,,62.4,,,,,,,,126,43.2,,,0.328,0.342,,,,,,
1,삼척,어르신,출장,76,관리자,3등급,20,F,152.8,54.6,30.5,,84,130,18.8,23.8,,,19.2,,,,,,23.4,,,,,18,,84,6.62,28.98,43.6,,,,,,,,,,,,,,,,,,,23.8
2,포천,성인,일반,62,관리자,2등급,20,M,171.6,73.8,21.2,87,85,145,44.9,47.9,,,9.1,,,,,,25.1,26,,,187,,,,,,64.9,,,,,,,,105,36.7,,,0.353,,,,,,,
1,삼척,어르신,출장,70,관리자,3등급,20,F,152.6,57.1,43.8,,84,142,23,28.2,,,10.8,,,,,,24.5,,,,,19,,102,5.82,24.43,49.4,,,,,,,,,,,,,,,,,,,28.2
1,김천,성인,일반,58,관리자,참가,20,F,159.3,59.2,31.5,84.6,77,158,32.2,35,,,8.5,,,,,,23.3,15,,,162,,,,,,59.1,,,60,84,114,,34.6,,,,,0.463,,,,,,,
2,김천,성인,일반,63,관리자,2등급,20,F,150.3,48.2,36,76.5,50,99,22.6,21.2,,,17.4,,,,,,21.3,12,,,113,,,,,,46.9,,,73,104,131,,34.0,,,,,0.489,,,,,,,
1,삼척,어르신,출장,72,관리자,참가,20,F,144.4,44.6,27.3,,69,138,17.7,18.8,,,0.8,,,,,,21.4,,,,,22,,113,5.47,25.42,42.2,,,,,,,,,,,,,,,,,,,18.8
3,성동,어르신,일반,67,관리자,참가,20,M,169,64.7,20,,74,145,34.6,35,,,9.6,,,,,,22.7,,,,,15,,95,6.01,29.28,54.1,,,,,,,,,,,,,,,,,,,35.0
1,삼척,어르신,출장,74,관리자,참가,20,F,158.9,69.9,34.8,,77,152,20.2,21.4,,,4.7,,,,,,27.7,,,,,17,,91,4.94,30.66,30.6,,,,,,,,,,,,,,,,,,,21.4
11,삼척,어르신,출장,78,관리자,2등급,20,F,149.4,54.1,38.4,,81,136,19.2,22.4,,,12.0,,,,,,24.2,,,,,22,,110,5.39,25.49,41.4,,,,,,,,,,,,,,,,,,,22.4
1,삼척,어르신,출장,66,관리자,3등급,20,F,144,54.4,41.2,,74,131,19.6,22,,,11.9,,,,,,26.2,,,,,28,,112,5.06,23.15,40.4,,,,,,,,,,,,,,,,,,,22.0
1,삼척,어르신,출장,77,관리자,참가,20,F,153,59.2,38.9,,68,143,22.7,19.4,,,2.3,,,,,,25.3,,,,,20,,108,6.53,30.28,38.3,,,,,,,,,,,,,,,,,,,22.7
1,수원,성인,일반,20,관리자,참가,20,M,176.6,66.8,17.2,74,77,119,42.6,38.1,,,15.9,,,,,,21.4,32,,9.798,,,,,,,63.8,,,,,,,,128,45.6,,,,0.572,,,,,,
5,삼척,어르신,출장,66,관리자,참가,20,F,153.7,62.1,38.7,,87,141,21.8,25.9,,,11.2,,,,,,26.3,,,,,24,,120,5.52,24.7,41.7,,,,,,,,,,,,,,,,,,,25.9
2,달서,성인,일반,19,관리자,2등급,20,M,171.9,56.8,7.3,70.3,87,137,36.8,42.5,,,17.7,,,,,,19.2,48,63,,214,,,,,,74.8,,49.9,,,,,,,,,,0.31,,,,,,,
1,삼척,어르신,출장,84,관리자,1등급,20,F,147.8,50.4,40.2,,83,159,18.4,16.4,,,19.3,,,,,,23.1,,,,,16,,125,6.23,26.34,36.5,,,,,,,,,,,,,,,,,,,18.4
1,삼척,어르신,출장,76,관리자,3등급,20,F,158.8,71,44.0,,84,151,22,23.8,,,13.2,,,,,,28.2,,,,,18,,84,5.69,30.41,33.5,,,,,,,,,,,,,,,,,,,23.8
3,KSPO아산,성인,일반,19,관리자,2등급,20,M,177.1,76.7,9.0,83,71,135,65.1,70.8,,,16.5,,,,,,24.5,68,,8.84,283,,,,,,92.3,,,99,126,142,169,44.9,,,,,,,,,,,,
1,삼척,어르신,출장,74,관리자,3등급,20,F,147,55.8,41.2,,73,134,19,23.3,,,14.8,,,,,,25.8,,,,,24,,86,6.77,28.44,41.8,,,,,,,,,,,,,,,,,,,23.3
8,삼척,어르신,출장,73,관리자,참가,20,F,150.8,68.2,47.4,,89,146,19.5,23.6,,,11.9,,,,,,30.0,,,,,13,,98,6.87,32.11,34.6,,,,,,,,,,,,,,,,,,,23.6
7,청주,성인,일반,61,관리자,2등급,20,F,152.1,49.7,25.3,72.6,62,108,25.4,30.3,,,16.8,,,,,,21.5,32,,,137,,,,,,61.0,,,,,,,,90,34.6,,,0.328,,,,,,,
1,KSPO아산,성인,일반,19,관리자,2등급,20,M,173.4,71.5,16.8,77,63,132,42.9,44.4,,,12.3,,,,,,23.8,54,,10.68,,,,,,,62.1,,,98,131,144,168,46.6,,,,,,0.569,,,,,,
1,삼척,어르신,출장,69,관리자,참가,20,F,149.5,50.8,35.3,,82,154,17.8,19.9,,,11.8,,,,,,22.7,,,,,28,,75,5.93,27.16,39.2,,,,,,,,,,,,,,,,,,,19.9
8,삼척,어르신,출장,81,관리자,참가,20,F,150.6,67.7,47.8,,76,131,17.1,22.7,,,-1.9,,,,,,29.8,,,,,14,,102,7.03,33.91,33.5,,,,,,,,,,,,,,,,,,,22.7
1,삼척,어르신,출장,78,관리자,3등급,20,F,158.1,68,48.6,,77,151,19.3,19.3,,,12,,,,,,27.2,,,,,23,,112,6.56,29.32,28.4,,,,,,,,,,,,,,,,,,,19.3
1,삼척,어르신,출장,77,관리자,2등급,20,F,151.3,55.3,43.4,,93,149,17.3,20.9,,,13.5,,,,,,24.2,,,,,29,,116,5.63,26.3,37.8,,,,,,,,,,,,,,,,,,,20.9
1,삼척,어르신,출장,72,관리자,참가,20,F,159,54.3,37.2,,78,133,20.3,23.6,,,-0.9,,,,,,21.5,,,,,15,,79,6.18,29.15,43.5,,,,,,,,,,,,,,,,,,,23.6
1,달서,어르신,일반,71,관리자,참가,20,M,165.7,68.66,41.3,94.8,99,159,25.1,26.8,,,6.6,,,,,,25,,,,,19,,109,6.31,26.16,39,,,,,,,,,,,,,,,,,,,26.8
1,삼척,어르신,출장,69,관리자,참가,20,F,150.5,61.4,42.8,,72,113,19.5,16.1,,,16.3,,,,,,27.1,,,,,16,,82,7.93,37.08,31.8,,,,,,,,,,,,,,,,,,,19.5
1,안산,성인,일반,61,관리자,3등급,20,M,166.9,58.3,23.3,88,97,152,36.6,38.1,,,18.8,,,,,,20.9,19,,,146,,,,,,65.4,,,,,,,,131,36.2,,,0.571,,,,,,,
1,삼척,어르신,출장,75,관리자,3등급,20,F,154.5,73.8,47.9,,98,159,22,29.7,,,8.2,,,,,,30.9,,,,,20,,84,7.15,30.93,40.2,,,,,,,,,,,,,,,,,,,29.7
1,남구(부산),성인,일반,19,관리자,참가,20,M,175.9,79.10,23.8,91.0,87,133,50.6,51.8,,,19.3,,,,,,25.6,35,,,223,,,,,,65.5,,,,,,,,144,40.7,,,0.309,,,,,,,
1,삼척,어르신,출장,84,관리자,참가,20,F,145.7,57.6,38.3,,77,131,11.9,14.6,,,0.1,,,,,,27.1,,,,,19,,100,7.36,30.08,25.3,,,,,,,,,,,,,,,,,,,14.6
2,전주,성인,일반,62,관리자,참가,20,M,174,70.6,21.7,84.5,77,158,33.2,30.2,,,-14.7,,,,,,23.3,23,,,159,,,,,,47.0,,,,,,,,102,38.1,,,0.415,,,,,,,
1,삼척,어르신,출장,73,관리자,참가,20,F,153.6,70.5,44.5,,72,138,28.5,25.8,,,2.4,,,,,,29.9,,,,,19,,108,4.92,25.97,40.4,,,,,,,,,,,,,,,,,,,28.5
1,삼척,어르신,출장,69,관리자,참가,20,F,155.4,69.6,41.7,,75,128,22,20.5,,,23.2,,,,,,28.8,,,,,24,,108,6.15,25.99,31.6,,,,,,,,,,,,,,,,,,,22.0
1,화성,성인,일반,20,관리자,참가,20,M,176.2,65.2,14,,71,116,36.8,40.2,,,11.1,,,,,,21.0,45,37,10.6,235,,,,,,61.7,,42.4,,,,,,,,,,,,,,,,,
1,남구(부산),성인,일반,22,관리자,3등급,20,F,168.5,53.30,22.9,74.4,82,141,28.9,30.3,,,13.6,,,,,,18.8,24,,,180,,,,,,56.8,,,,,,,,126,38.1,,,0.390,,,,,,,
1,성남,성인,일반,21,관리자,참가,20,M,172.7,77.4,22.5,,71,124,42,50.8,,,-4.4,,,,,,26.0,43,31,10.45,218,,,,,,65.6,,39.2,,,,,,,,,,,,,,,,,
1,남구(부산),성인,일반,19,관리자,3등급,20,M,174,68.9,17.4,80.2,66,130,38.7,45.9,,,15.7,,,,,,22.8,46,51,,217,,,,,,66.6,,45.3,,,,,,,,,,0.279,,,,,,,
2,정읍,성인,일반,61,관리자,참가,20,M,175.5,89.9,28.1,,76,147,43.8,45.3,,,6.1,,,,,,29.2,22,,,196,,,,,,50.4,,,,,,,,112,32.7,,,0.367,,,,,,,
4,KSPO대구,성인,일반,19,관리자,2등급,20,M,168.2,59.1,8.3,70.5,61,105,46.6,50.8,,,13.2,,,,,,20.9,63,,,233,,,,,,86.0,,,,,,,,98,51.3,,,0.291,,,,,,,
2,KSPO대구,성인,일반,19,관리자,참가,20,M,176,77.5,20.3,76.3,80,121,34.2,32.7,,,13,,,,,,25.0,50,,10,211,,,,,,44.1,,,,,,,,70,52.0,,,,,,,,,,
1,서초,성인,일반,19,관리자,2등급,20,M,168.4,57.1,13.6,68.0,64,103,35.1,41,,,22.3,,,,,,20.1,53,,,246,,,,,,71.8,,,75,109,135,165,49.4,,,,,0.289,,,,,,,
1,중구(서울),어르신,일반,65,관리자,참가,20,M,169.5,86.3,38.4,,89,158,36.5,38.7,,,9.3,,,,,,30.0,,,,,18,,105,5.88,22.98,44.8,,,,,,,,,,,,,,,,,,,38.7
3,포천,어르신,일반,70,관리자,2등급,20,M,169.1,74.5,24.7,87,81,153,30.1,36.4,,,10.2,,,,,,26.1,,,,,30,,123,4.68,18.95,48.9,,,,,,,,,,,,,,,,,,,36.4
2,화성,성인,일반,20,관리자,참가,20,M,168.5,71.7,20.3,,86,142,39.5,40.6,,,12.5,,,,,,25.3,49,24,10.59,233,,,,,,56.6,,38.6,,,,,,,,,,,,,,,,,
1,KSPO송파,성인,일반,50,관리자,참가,20,F,155.8,49.1,25.6,74.6,76,115,18.9,20,,,10.9,,,,,,20.2,33,15,,,,,,,,40.7,,31.8,,,,,,,,,,0.364,0.425,,,,,,
1,KSPO송파,성인,일반,49,관리자,참가,20,M,165.1,67.9,25.5,80.2,86,158,29.1,34.4,,,18.2,,,,,,24.9,32,35,,174,,,,,,50.7,,39.4,,,,,,,,,,0.327,,,,,,,
2,동작,성인,일반,20,관리자,참가,20,M,180,82.3,14.2,,83,134,47,52.3,,,13.3,,,,,,25.4,41,49,,242,,,,,,63.5,,42.6,,,,,,,,,,0.316,,,,,,,
2,춘천,성인,일반,20,관리자,3등급,20,M,173.7,81.6,24.8,92.8,75,131,45,48,,,9.8,,,,,,27.0,46,,10.82,203,,,,,,58.8,,,92,115,126,156,45.8,,,,,,,,,,,,
1,전주,어르신,일반,79,관리자,3등급,20,M,165.2,59.4,28.2,80.8,82,148,22.1,25.1,,,23.2,,,,,,21.8,,,,,20,,109,5.72,26.44,42.3,,,,,,,,,,,,,,,,,,,25.1
3,춘천,성인,일반,19,관리자,1등급,20,M,177.8,62.6,11.1,74.6,91,157,48.6,48.8,,,16.3,,,,,,19.8,62,62,10.17,241,,,,,,78.0,,48.7,,,,,,,,,,,,,,,,,
2,고양,어르신,일반,69,관리자,2등급,20,M,173.1,71.3,27.4,,83,137,34.5,42.4,,,13,,,,,,23.8,,,,,30,,110,5.17,21.82,59.5,,,,,,,,,,,,,,,,,,,42.4
1,영주,어르신,일반,70,관리자,2등급,20,F,157.2,61.20,37.3,88.2,84,157,24.2,23.3,,,26.3,,,,,,24.8,,,,,22,,103,5.35,20.66,39.5,,,,,,,,,,,,,,,,,,,24.2
1,포천,어르신,일반,69,관리자,2등급,20,M,161,62.4,24.9,84,96,159,27.6,34.6,,,10.8,,,,,,24.1,,,,,34,,123,4.29,18.97,55.4,,,,,,,,,,,,,,,,,,,34.6
1,영주,어르신,일반,71,관리자,3등급,20,F,150.2,51.20,36.2,77.5,66,138,20.1,20.3,,,9.9,,,,,,22.7,,,,,17,,99,5.93,24.5,39.6,,,,,,,,,,,,,,,,,,,20.3
1,증평,성인,일반,63,관리자,참가,20,M,165.0,70.0,29.0,90.9,57,112,34.9,32.6,,,-11.8,,,,,,25.7,28,,,,,,,,,49.9,,,,,,,,100,37.6,,,0.423,0.408,,,,,,
1,전주,성인,일반,19,관리자,참가,20,M,177,65.4,22.2,84.9,57,123,36.6,39.6,,,11.9,,,,,,20.9,40,42,,219,,,,,,60.6,,43.6,,,,,,,,,,0.408,,,,,,,
2,창원,어르신,일반,70,관리자,2등급,20,F,144.2,47.8,31.2,76,73,153,22.9,20.4,,,20.2,,,,,,23.0,,,,,33,,112,5.44,25.13,47.9,,,,,,,,,,,,,,,,,,,22.9
1,익산,성인,일반,61,관리자,참가,20,F,163.5,58.9,37.6,88,73,126,20.9,22.2,,,25.4,,,,,,22.0,5,,,,,,,,,37.7,,,,,,,,114,30.5,,,0.434,0.379,,,,,,
2,남구(부산),성인,일반,19,관리자,3등급,20,M,184.7,82.30,18.1,84.5,73,137,42.2,45.5,,,17.7,,,,,,24.1,45,68,,223,,,,,,55.3,,47.0,,,,,,,,,,0.244,,,,,,,
2,강북,성인,일반,20,관리자,참가,20,M,173.2,59.20,15.3,72.5,62,114,36,44.5,,,-3.2,,,,,,19.7,23,,,,,,,,,75.2,,,,,,,,123,47.8,,,0.332,0.643,,,,,,
3,성남,성인,일반,19,관리자,2등급,20,M,168.4,70.2,19.8,,70,126,45.5,40.9,,,12.9,,,,,,24.8,57,,10.29,,,,,,,64.8,,,,,,,,114,46.5,,,,0.598,,,,,,
3,북구(광주),성인,일반,30,관리자,3등급,20,M,169.4,66.2,21.2,83.9,80,133,35.4,37.1,,,9.4,,,,,,23.1,49,,10.79,210,,,,,,56.0,,,,,,,,116,44.5,,,,,,,,,,
2,남구(부산),성인,일반,19,관리자,2등급,20,M,176.9,70.50,15.3,81.7,58,116,46.6,50.8,,,11.3,,,,,,22.5,52,53,,240,,,,,,72.1,,45.4,,,,,,,,,,0.292,,,,,,,
1,서구(광주),성인,일반,27,관리자,참가,20,F,154.6,47.2,25.5,66.5,68,109,22,22.7,,,-2.2,,,,,,19.7,14,,,,,,,,,48.1,,,99,130,155,,38.1,,,,,0.396,0.388,,,,,,
2,동구(광주),성인,일반,19,관리자,참가,20,M,183.8,70.5,25,71,69,124,30.3,33.3,,,-9.8,,,,,,20.9,8,13,,155,,,,,,47.2,,35.9,,,,,,,,,,0.260,,,,,,,
2,안산,성인,일반,20,관리자,참가,20,M,186.1,83.1,15.8,88,88,135,49,44.4,,,17.6,,,,,,24.0,54,36,9.43,267,,,,,,59.0,,39.3,,,,,,,,,,,,,,,,,
1,증평,어르신,일반,68,관리자,참가,20,F,159.1,75.1,43.1,103.8,88,148,22.4,25.3,,,6.6,,,,,,29.7,,,,,14,,104,6.18,28.60,33.7,,,,,,,,,,,,,,,,,,,25.3
3,KSPO송파,성인,일반,20,관리자,3등급,20,M,181.4,79.3,19.4,,77,132,43.1,49.9,,,25.1,,,,,,24.1,61,48,10.26,246,,,,,,62.9,,42.8,,,,,,,,,,,,,,,,,
1,KSPO대구,성인,일반,28,관리자,참가,20,M,178.3,77.4,24.8,81.2,93,137,44.5,49.5,,,8.4,,,,,,24.3,43,33,,186,,,,,,64.0,,39.0,,,,,,,,,,0.338,,,,,,,
1,KSPO대구,성인,일반,28,관리자,참가,20,F,168,61.5,30.6,70.3,85,135,26.9,31.4,,,4.8,,,,,,21.8,32,10,,143,,,,,,51.1,,29.4,,,,,,,,,,0.41,,,,,,,
1,남구(울산),청소년,출장,18,관리자,3등급,20,F,163.5,58.1,28.2,,67,107,27.6,25,18,,14.5,20.34,0.464,52.563,6,52.839,21.7,,53,,,,,,,,47.5,,40.6,,,,,,,,,,,,,,,,,
2,사상,성인,일반,19,관리자,3등급,20,M,172.5,85.8,24.2,83,76,120,48.7,56.7,,,14.1,,,,,,28.8,48,,,239,,,,,,66.1,,,,,,,,113,43.5,,,0.288,,,,,,,
7,남구(울산),성인,출장,22,관리자,참가,20,M,185.5,80.2,11.3,,83,117,37,44,,,-10.5,,,,,,23.3,58,101,9.5,,,,,,,54.9,,54.8,,,,,,,,,,,0.658,,,,,,
11,사상,어르신,일반,67,관리자,참가,20,F,152.5,64.7,39.7,96,75,132,22.9,25.2,,,6.5,,,,,,27.8,,,,,22,,78,5.4,21.5,38.9,,,,,,,,,,,,,,,,,,,25.2
1,사천,성인,일반,19,관리자,2등급,20,M,181.1,78.8,14.4,82.4,77,137,39.3,51,,,15.6,,,,,,24.0,57,71,,255,,,,,,64.7,,48.3,,,,,,,,,,0.270,,,,,,,
2,오산,성인,일반,19,관리자,2등급,20,M,172.3,67,17.5,80.2,63,126,38.4,42.3,,,17.2,,,,,,22.6,52,,,249,,,,,,63.1,,,82,108,124,164,48.4,,,,,0.242,,,,,,,
1,사천,성인,일반,19,관리자,2등급,20,M,169.7,70.4,16.4,82.7,91,137,47.9,50.9,,,15.1,,,,,,24.4,50,71,,210,,,,,,72.3,,49.8,,,,,,,,,,0.322,,,,,,,
1,남구(울산),성인,출장,19,관리자,2등급,20,F,161.3,63.5,27.2,,65,107,33.4,33,,,28.4,,,,,,24.4,44,53,12.45,,,,,,,52.6,,42.4,,,,,,,,,,,0.457,,,,,,
1,오산,성인,일반,19,관리자,참가,20,M,172.6,67.7,17.9,79.3,76,122,31.3,34.3,,,13.6,,,,,,22.7,32,,,180,,,,,,50.7,,,93,125,150,185,43.4,,,,,0.280,,,,,,,
6,남구(울산),성인,출장,20,관리자,2등급,20,F,168.5,60.4,24.8,,69,107,27.6,30.1,,,19.1,,,,,,21.3,39,49,11.95,,,,,,,49.8,,41.8,,,,,,,,,,,0.491,,,,,,
5,남구(울산),성인,출장,20,관리자,3등급,20,M,170.8,61.0,14.4,,75,117,35.7,33.4,,,19.6,,,,,,20.9,45,80,9.47,,,,,,,58.5,,53.2,,,,,,,,,,,0.622,,,,,,
5,남구(울산),성인,출장,20,관리자,3등급,20,F,167.8,68.9,29.3,,68,107,35.5,33.1,,,10.1,,,,,,24.5,41,49,11.97,,,,,,,51.5,,40.4,,,,,,,,,,,0.489,,,,,,
1,남구(울산),성인,출장,19,관리자,참가,20,M,197.7,86.4,15,,84,121,35.7,41.7,,,-1.0,,,,,,22.1,58,100,10.15,,,,,,,48.3,,53.7,,,,,,,,,,,0.566,,,,,,
1,포천,성인,일반,19,관리자,1등급,20,M,169.1,63.9,13.9,77,71,138,37.3,50.7,,,23.6,,,,,,22.3,64,64,9.12,255,,,,,,79.3,,49.1,,,,,,,,,,,,,,,,,
7,남구(울산),성인,출장,20,관리자,참가,20,M,188.9,94.9,22.4,,70,112,47.8,47.8,,,-10.9,,,,,,26.6,37,73,10.85,,,,,,,50.4,,46.2,,,,,,,,,,,0.550,,,,,,
